Track Name,artists,popularity,release_year,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
Shape of You,Ed Sheeran,87,2017,False,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,233713,4,5
Uptown Funk (feat. Bruno Mars),Mark Ronson,85,2015,True,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,269667,4,2
Sugar,Maroon 5,60,2015,True,0.748,0.788,1,-7.055,1,0.0334,0.0591,0.0,0.0863,0.884,120.076,235493,4,5
Bad Booty,MIRA,59,2024,False,0.663,0.658,3,-7.342,0,0.0535,0.00269,0.000519,0.467,0.314,120.074,153947,4,0
Counting Stars,OneRepublic,21,2013,False,0.662,0.71,1,-4.945,0,0.0364,0.0603,0.0,0.119,0.465,121.979,257267,4,3
Flowers,Miley Cyrus,25,2023,False,0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,200455,4,0
Roar,Katy Perry,0,2013,False,0.56,0.756,7,-4.817,0,0.0415,0.00635,1.29e-05,0.55,0.404,179.771,223546,4,0
Come With Me,MIRA,63,2023,False,0.769,0.724,3,-7.529,0,0.0575,0.0524,1.71e-06,0.148,0.534,115.045,168701,4,0
Sorry,Justin Bieber,0,2021,False,0.679,0.748,0,-3.624,0,0.0385,0.0878,0.0,0.299,0.438,100.035,200787,4,5
Thinking out Loud,Ed Sheeran,65,2013,False,0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,281560,4,5
Perfect,Ed Sheeran,88,2017,False,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,263400,3,5
Out of Space,Paul Damixie,56,2024,False,0.799,0.803,3,-5.242,1,0.034,0.232,6.6e-06,0.101,0.756,119.986,142200,4,5
Daylight,David Kushner,91,2023,False,0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,212954,4,5
Dark Horse,Katy Perry,77,2013,False,0.645,0.585,6,-6.122,1,0.0513,0.00314,0.0,0.165,0.353,131.931,215672,4,0
Let Her Go,Passenger,0,2012,False,0.479,0.545,7,-7.346,1,0.0688,0.365,0.0,0.0963,0.244,74.897,252733,4,1
Dumb,Paul Damixie,57,2024,False,0.863,0.76,3,-6.68,0,0.0909,0.00253,0.0177,0.184,0.531,122.988,168902,4,0
Girls Like You,Maroon 5,53,2023,True,0.604,0.462,0,-7.053,1,0.0614,0.558,1.05e-06,0.131,0.378,60.26,215230,4,5
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,58,2015,False,0.728,0.563,1,-8.053,0,0.134,0.621,0.0,0.179,0.352,100.017,217707,4,0
As It Was,Harry Styles,24,2022,False,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303,4,5
Hypnotised,Paul Damixie,58,2024,False,0.758,0.684,9,-7.46,0,0.0619,0.0557,0.0,0.175,0.604,119.926,139000,4,5
Hello,Adele,0,2015,False,0.471,0.431,5,-6.129,0,0.0342,0.329,0.0,0.0854,0.289,157.98,295502,4,2
Baby,Justin Bieber,51,2021,False,0.731,0.842,5,-5.358,0,0.113,0.0457,0.0,0.0988,0.473,65.027,216613,4,5
Closer,The Chainsmokers,56,2016,False,0.738,0.541,8,-5.597,1,0.0303,0.415,0.0,0.11,0.657,94.949,245507,4,0
